marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
oceane,Creme para Mãos com Óleo de Macadâmia - Hand Cream Sweet Cotton 10ml,,,10ml,11.90,acalma/anti-vermelhidão; antioxidante; anti-ressecamento; compatível com maquiagem; colágeno; hidratação,manteiga de karité,oleosa; seca,creme-para-maos-com-oleo-de-macadamia-hand-cream-sweet-cotton-10ml.jpg
oceane,Creme para Mãos com Óleo de Macadâmia - Hand Cream Sweet Cotton 30ml,,,30ml,18.90,antioxidante; anti-ressecamento; compatível com maquiagem; colágeno; hidratação,manteiga de karité,oleosa; seca,creme-para-maos-com-oleo-de-macadamia-hand-cream-sweet-cotton-30ml.jpg
oceane,Gel de Limpeza Facial com Ext. de Ginseng - Facial Cleansing Gel 100ml,,gel de limpeza,100ml,39.90,acalma/anti-vermelhidão; antiacne; antioxidante; colágeno; controle da oleosidade; hidratação; limpeza,,oleosa; todos os tipos,gel-de-limpeza-facial-com-ext-de-ginseng-facial-cleansing-gel-100ml.jpg
oceane,Máscara facial esfoliante de aveia e abacate | Purifying scrub mask,,máscara facial,,21.90,acalma/anti-vermelhidão; antiacne; antioxidante; anti-ressecamento; controle da oleosidade; esfoliação; hidratação; limpeza; luminosidade/viço; uniformiza o tom/antimanchas,,acneica; desidratada; normal; oleosa; seca; todos os tipos,mascara-facial-esfoliante-de-aveia-e-abacate-purifying-scrub-mask.jpg
oceane,Hidratante labial com vitamina C | Lip balm,,hidratante,,28.90,anti-inchaço nos olhos; antioxidante; anti-ressecamento; hidratação, óleo de jojoba; vitamina c,desidratada; madura; normal; oleosa; seca,hidratante-labial-com-vitamina-c-lip-balm.jpg
oceane,Creme antissinais diurno para área dos olhos | Eye rescue day cream,,antissinais,,42.90,acalma/anti-vermelhidão; antioxidante; colágeno; controle da oleosidade; hidratação; luminosidade/viço; uniformiza o tom/antimanchas,ácido hialurônico; niacinamida; óleo de rosa mosqueta; peptídeos; vitamina c,com manchas; madura; oleosa; radiante; todos os tipos,creme-antissinais-diurno-para-area-dos-olhos-eye-rescue-day-cream.jpg
oceane,Gel de Limpeza Facial com Ácido Salicílico – Acne Care Cleanser 100ml,,gel de limpeza,100ml,39.90,acalma/anti-vermelhidão; antiacne; anticravos; anti-ressecamento; controle da oleosidade; esfoliação; hidratação; limpeza; luminosidade/viço; proteção solar; suaviza marcas; uniformiza o tom/antimanchas,ácido salicílico; aloe vera,acneica; com espinhas ativas; com manchas; oleosa; seca,gel-de-limpeza-facial-com-acido-salicilico-acne-care-cleanser-100ml.jpg
oceane,Máscara labial noturna | Lip sleeping mask,,máscara facial,,39.90,antioxidante; anti-ressecamento; hidratação; proteção solar,,oleosa; seca,mascara-labial-noturna-lip-sleeping-mask.jpg
oceane,Máscara facial noturna com melancia | Watermelon sleep mask,,máscara facial,,21.90,antioxidante; colágeno; controle da oleosidade; hidratação; luminosidade/viço,ácido hialurônico,oleosa; radiante; todos os tipos,mascara-facial-noturna-com-melancia-watermelon-sleep-mask.jpg
oceane,Sérum facial noturno de probióticos | Probiotic Night Serum 30ml,,sérum,30ml,55.90,acalma/anti-vermelhidão; antissinais; colágeno; controle da oleosidade; fortalece a barreira; proteção solar; rugas profundas,esqualano; niacinamida; pantenol,normal; oleosa; seca; todos os tipos,serum-facial-noturno-de-probioticos-probiotic-night-serum-30ml.jpg
oceane,Máscara Facial com Mineras do Mar Morto - Dead Sea Minerals Mask 8g,,máscara facial,8g,12.90,acalma/anti-vermelhidão; antiacne; hidratação; limpeza; luminosidade/viço,,com olheiras; normal; radiante; todos os tipos,mascara-facial-com-mineras-do-mar-morto-dead-sea-minerals-mask-8g.jpg
oceane,Sérum com niacinamida e ácido salicílico | Niacinamide e salicylic acid serum,,sérum,,65.90,antiacne; anti-ressecamento; controle da oleosidade; desobstrui poros; esfoliação; hidratação,ácido salicílico; esqualano; niacinamida; zinco,acneica; normal; oleosa; seca,serum-com-niacinamida-e-acido-salicilico-niacinamide-e-salicylic-acid-serum.jpg
oceane,Sérum Facial para Gestantes - Maternity Serum 30ml,,sérum,30ml,85.90,acalma/anti-vermelhidão; controle da oleosidade; fortalece a barreira; minimiza poros; uniformiza o tom/antimanchas,ácido hialurônico; ceramidas; niacinamida; pantenol; peptídeos,normal; oleosa; radiante; todos os tipos,serum-facial-para-gestantes-maternity-serum-30ml.jpg
oceane,Creme Hidratante Antiatrito - Cream Anti Friction Océane 75g,,hidratante,75g,42.90,acalma/anti-vermelhidão,ácido hialurônico; alantoína; niacinamida,oleosa,creme-hidratante-antiatrito-cream-anti-friction-oceane-75g.jpg
oceane,Protetor Labial Hidratante - Lip Balm Fps30 10g,,hidratante,10g,29.90,proteção solar,,,protetor-labial-hidratante-lip-balm-fps30-10g.jpg
oceane,Hidratante labial menta | Lip balm,,hidratante,,24.90,anti-ressecamento; hidratação, óleo de jojoba,oleosa; seca,hidratante-labial-menta-lip-balm.jpg
